,body text,condition,cylinders,drive,fuel,latlong,location,make,odometer,paint color,price,sale type,size,title status,transmission,type
0,"

QR Code Link to This Post


EXCELLENT condition like new. 
Only 60.000 km
Sunroof, Heated Seats, Parking Sensors, Backup Camera, Satellite Radio, Spare Tire, Remote Start and more... call at  show contact info
 to view it.    ", like new, 6 cylinders, rwd, gas,49.133295;-122.671452,Langley,2015 chevrolet camaro, 60000, grey,"$18,000",owner, full-size, clean, automatic, coupe
1,"

QR Code Link to This Post


2006 Honda Civic 2door coupe 4cyl engine 5spd manual transmission 171000kms 
Very good on fuel.
It has extra set of Michelin winter tires 
In good shape drives good but 
Transmission makes noise need repaires Input shaft bearing makes noise needs to be replaced common problem.
$2800
Contact#236-5I8-7432






















































", good, 4 cylinders, fwd, gas,49.264892;-122.800620,"vancouver, BC",2006 Honda civic, 171000, red,"$2,800",owner, full-size, clean, automatic, sedan
2,"

QR Code Link to This Post


Selling my mint condition BLACK MB C300 with the AMG Sport package. Low Km's 
Warranty until November 28, 2021. Other specs include:

- AMG Sports package
- DISTRONIC PLUS w. Adaptive Cruise
-Active Parking
-Blind Spot Assist
-Interior Light
-Burmeister Sound System.
-Navigation
-360 Camera
-Deep Red Leather


No low ball offers. Price is negotiable. No dealerships please.
do NOT contact me with unsolicited services or offers    ", excellent, 4 cylinders, 4wd, gas,49.276900;-122.976100,Burnaby,2018 mercedes benz c300, 33000, black,"$39,999",owner, compact, clean, automatic, coupe
3,"

QR Code Link to This Post


2002 Porsche 911 Carrera Twin Turbo X50 Coupe Collectors 911
Local Porsche Club of America Member
90600km
450Horse power
All Wheel Drive , All year around sports car
No accident
Clean title
Second owner Owned for 10 years driven as second car
Limited production vehicle , eligible for collector plate next year ; $100/month for an insurance.
Ceramic coating done $1200
Undercoating done $900
Two sets of original keys
Genuine Porsche all weather mats $700
Blackview Dash Camera $700

Special X50 Package offers +50HP , sunroof , PCCB Carbon Ceramic brake alcantra headliner option
Full service record
All original
Well maintained and Just been serviced this week.
Used only Mobil1 oil and OEM Porsche parts
comes with original books, 2 keys even genuine porsche car cover etc.
Best condition 911 Twin turbo. what you pay is what you get.
$75,900
Only reply to ad with phone number if you are serious buyer.
No soliciting dealers or agents.
Lowballer will be ignored.

Will consider trading with your ferrari f430 f360 california berlinetta 575m 612
Lamborghini gallardo murcielago huracan audi r8 v10 corvette z06 bmw m4 mercedes benz c43 e63  aston martin vantage or vanquish maserati ghibli granturismo mc stradle  
something fast and exotic or cool. you get the idea. I will add +/- cash up.    ", excellent, 6 cylinders, 4wd, gas,49.266214;-123.220425,Vancouver,2002 porsche 911 turbo, 90600, yellow,"$75,900",owner, full-size, clean, automatic, coupe
4,"

QR Code Link to This Post


Hello,

My wife and I recently moved to Vancouver and we find that we no longer need our car.

We are selling a 2020 Black Hyundai Tucson, Preferred that is in immaculate condition. There is only 8000km, most of which was highway driving. 

The car has all-wheel drive, heated seats, heated steering wheel, blind spot collision, start proximity key with push button

Includes the Trend Package:
Upgraded 2.4L Engine
Chrome-tipped dual exhaust
18” Alloy Wheels
Panoramic sunroof with LED maplights
7” Display Audio with SiriusXM & VR
Electrochromatic Rearview Mirror with HomeLink®
Bluelink® with remote start
Proximity Key with Push Button Start
Illuminated door handles (front)
8-way Power Driver’s Seat with 2-way Electric Lumbar Support
Front and rear skid plates
Dual automatic temperature control with CleanAir ionizer and auto defogger

Please message me if you are interested.    ", like new,, 4wd, gas,49.264600;-123.164800,Vancouver,2020 hyundai tucson, 8000, black,"$33,000",owner,, clean, automatic, SUV
5,"

QR Code Link to This Post


Locally Driven, Non-smoker, reliable CVT Transmission. One Owner! 

Comes with paddle shifters, heated front seats, keyless entry, bluetooth AND MUCH MORE!

CARFAX: https://vhr.carfax.ca/?id=D/4EV8uTotrSXS5oXchF/dfOF0yf31fc    ", excellent, 4 cylinders, fwd, gas,49.257139;-123.016663,Coquitlam North,2008 mitsubishi lancer, 169762, grey,"$5,995",owner,, clean, automatic, sedan
6,"

QR Code Link to This Post


Will buy any old honda or acura.
Send me details or call 
604 72555 27    ", salvage, 4 cylinders, fwd, gas,49.220100;-122.899800,New Westminster Northeast,2001 honda accord, 399696, silver,$300,owner, mid-size, missing, automatic, sedan
7,"

QR Code Link to This Post


Great commuter .good for Door dash or Skip . Well maintained  . Very reliable .    ", good, 4 cylinders, fwd, gas,49.220100;-122.899800,New Westminster Northeast,2001 toyota corolla, 316000, brown,"$1,200",owner, compact, clean, automatic, sedan
8,"

QR Code Link to This Post


I am helping my uncle sell his 2011 Subaru Legacy 2.5GT which he owned for a couple years now. If you done some research, you know that this is a rare limited production car. As it is 6 speed Manual with a turbocharged 2.5-liter engine.
Car currently is under 69,000kms. The car is in good condition considering the year. He only driven the car in the city and commuted to work by transit, which is why is the mileage is low.
Interior is in really good condition as he try his best to keep the car in clean condition always. Car has never been smoked in or pets under his ownership.
Car is equipped with power windows, power locks, keyless entry, etc.
The car is stock, no mods has been done to the car.
Car has a REBUILT title due to the previous owner. The person he bought the car from said the hood, bumper and rad support has been replaced due to a minor accident. My uncle never had any issues with the car in his ownership for the past couple years.
Car has been inspected by an ICBC certified facility and had completed a wheel alignment.
Car is driven by a mature adult.
Reason of selling is because due to the pandemic, my uncle is basically working from home most of the time and doesn't need the car at all. Overall, the car is a great car especially because its turbo charged, spacious and a great all season car (especially winter season). It is equiped with Michelin AS3s with good tread.
The price reflects on the current condition of the car as well as its mileage and title. Car can be inspected at your expense.

Price is $13,800. NO TRADES, cash only.

email if you have any other questions.    ", fair,, 4wd, gas,49.275062;-123.049274,"vancouver, BC",2011 subaru legacy gt, 69000, white,"$13,800",owner,, rebuilt, manual, sedan
9,"

QR Code Link to This Post


1968 ford ltd four door. Complete car 390 cubic inch motor, good glass . Is rusty. Good parts car.    ",,,, gas,50.322195;-122.801551,Pemberton,1968 ford ltd, 1111111,,"$2,000",owner,, clean, automatic,
10,"

QR Code Link to This Post


2007 cab and chassis in excellent running condition very well maintained. Engine completely rebuilt with 30 thousand km on it have all documentation to prove over 40 thousand spent in last 6 months. Would make excellent tow or delivery truck tires more then 80 % left    ",,,, diesel,49.177450;-122.745953,Surrey,2007 international 4200, 30000,,"$16,000",owner,, clean, automatic,
11,"

QR Code Link to This Post


2000 Mercedes E320 4matic, awd, fully loaded, power sunroof, 3.2 litre, V6 engine that runs amazing, transmission shifts great, amazing on snow and ice, very good on gas, no leaks, garage kept, always serviced on time, asking $2500 it’s a beautiful car, must drive to appreciate, selling because we need a bigger vehicle for our kids. Leave your phone number if you’re interested.    ", excellent,,, gas,49.239700;-123.040700,Vancouver,2000 mercedes e320 4matic, 220000, silver,"$2,500",owner,, clean, automatic, sedan
12,"

QR Code Link to This Post


2003 Audi A4 Sedan 1.8T Quattro

JOM Adjustable Coilover suspension, Hubcentric H&R Wheel Spacers, Upgraded B7 Wheels with Continental Extreme Contact All Weather Tires (M+S), New HID bulbs and ballasts, K&N air filter, new fuel pump, valve cover gasket, thermostat, Kenwood Bluetooth deck. I still daily drive this car long distances and it hasn’t let me down. E-mail with any further questions.


2000 2001 2002 2003 2004 2005 2006 Audi A4 A5 A6 A7 A8 Quattro AWD 4WD Turbo 1.8 stanced lowered    ", good, 4 cylinders, 4wd, gas,49.299000;-123.140800,Vancouver,2003 Audi A4, 231000, grey,"$3,200",owner, compact, clean, automatic, sedan
13,"

QR Code Link to This Post


2008 Mercedes-Benz SL Class 550. 
Black 5.5L V8.
 Got it Serviced in  Desember 2020. New Module and new Pump. 

Convertible W Removable Hardtop, Air Conditioning, AM/FM Radio, Rear Wheel Drive, 2 Passenger, Leather Interior , Air Bag -Dual, Power Steering, Power Locks, Power Windows, Cruise Control, Traction Control, Navigational System, Memory Seat, Sirius Satellite Radio , Bluetooth.    ", excellent, 8 cylinders,, gas,49.345183;-123.180216,West Vancouver,2008 Mercedes benz sl 550, 119470, black,"$25,900",owner,, clean, automatic, convertible
14,"

QR Code Link to This Post


2004 PORSCHE CAYENNE S,Blue ,4DR. 8 Cylinder Gas , Automatic Transmission, Moon Roof, Dual-AC, AM/FM/CD, Drive Train- All Wheel, 5 Passenger, Leatherette, Power Driver and Passenger Seats, Air Bag-Dual, Power Steering, Power Locks, Power Windows, Cruise Control, Traction Control.    ", excellent, 8 cylinders,, gas,49.345183;-123.180216,West Vancouver,2004 porsche cayenne s, 170800, blue,"$8,700",owner,, clean, automatic, SUV
15,"

QR Code Link to This Post


2012 DODGE GRAND CARAVAN. 

Black. 6 cylinder.Automat transmission. Hard Top. Air conditioning.7 Passenger.Air bag dual. Power steering , Power Locks, Power Locks, Power Windows. Cruise Control. Traction Control. Cloth Interior.    ", excellent, 6 cylinders, fwd, gas,49.374500;-123.186400,West Vancouver North,2012 2012 dodge grand caravan, 251000, black,"$5,500",owner,, clean, automatic,
16,"

QR Code Link to This Post


Very clean white Smart Fortwo car.
Moon Roof. Air Conditioning,AM/FM/CD,Cloth interior, Traction Control, Power Locks /Windows./Steering,    ", excellent, 3 cylinders, rwd, gas,49.339700;-123.191200,West Vancouver South,2010 smart fortwo, 128000, white,"$4,100",owner,, clean, automatic,
