,fuel,make,odometer,price,title status,transmission,VIN,condition,drive,paint color,type,cylinders,size,price_num
0, gas,2007 chevy cobalt ss, 210000,"$2,300", clean, manual,,,,,,,,2300
1, gas,2017 Audi A4, 83339,"$23,995", clean, automatic, WAUANAF47HN020134, excellent, 4wd, grey, sedan,,,23995
2, hybrid,2018 porsche cayenne s e-hybrid, 46749,"$78,995", clean, automatic, WP1AE2A2XJLA71352,,, black,,,,78995
3, gas,2018 gmc yukon xl slt 4wd, 49500,"$59,990", clean, automatic,, excellent, 4wd, black, SUV, 8 cylinders, full-size,59990
4, gas,2019 Honda CR-V, 19124,"$31,250", clean, automatic, 2HKRW2H58KH136996, excellent, 4wd,, SUV,,,31250
5, gas,1997 cadillac catera, 216000,"$2,250", clean, automatic,, like new, rwd, blue, sedan, 6 cylinders, full-size,2250
6, gas,2001 honda accord ex-l, 210,"$1,990", clean, automatic,,,,,,,,1990
7, gas,2003 ford f450 super duty, 14700,"$7,850", clean, automatic,, good, rwd, white, truck, 10 cylinders, full-size,7850
8, diesel,2004 gmc sierra 2500hd 4x4, 320,"$8,880", clean, automatic,,,,,,,,8880
9, gas,2018 Audi A5 Coupe, 22493,"$39,995", clean, automatic, WAURNAF53JA082316, excellent, 4wd, white, coupe,,,39995
10, gas,2019 hyundai santa fe awd, 41445,"$23,900", clean, automatic, 5NMS2CAD5KH126086, like new, 4wd, black, SUV, 6 cylinders, full-size,23900
11, gas,2018 porsche boxster gts, 24269,"$88,995", clean, automatic, WP0CB2A80JS229386,,, white,,,,88995
12, gas,2003 pontiac montana, 135200,"$2,699", clean, automatic,, excellent, fwd, blue, van, 6 cylinders, full-size,2699
13, gas,2014 Kia Soul EX GDI, 76282,"$11,500", clean, automatic,, excellent, fwd, blue, SUV, 4 cylinders, compact,11500
14, gas,2004 chevrolet optra, 105000,"$2,800", clean, automatic,,,,,,,,2800
15, gas,1996 Ford Ranger, 285333,$123, parts only, manual,, good, rwd, green, truck, 4 cylinders, mid-size,123
16, gas,2007 Mercedes B200, 174000,"$3,800", clean, automatic,,,,,,,,3800
17, gas,2011 Ford Ranger, 82089,"$16,900", clean, automatic, 1FTLR4FE0BPA52512, excellent, 4wd, black, pickup,,,16900
18, gas,2017 Honda Odyssey, 80986,"$24,995", clean, automatic, 5FNRL5H48HB502089, excellent, fwd,,,,,24995
19, gas,2012 volkswagen jetta, 110668,"$6,900", clean, manual,, like new, fwd, black, sedan, 4 cylinders, mid-size,6900
20, gas,2013 mini cooper, 112300,"$8,800", clean, manual,, like new, fwd, white, hatchback, 4 cylinders, compact,8800
21, gas,2012 volkswagen jetta, 110668,"$6,900", clean, manual,, like new, fwd, black,, 4 cylinders,,6900
22, gas,2006 Mercedes Benz B 200, 126000,"$5,750", clean, automatic,, good, fwd, white, sedan, 4 cylinders, sub-compact,5750
23, gas,2015 MINI Cooper Hardtop, 100000,"$14,997", clean, automatic,,,,,,,,14997
24, gas,2006 honda odyssey, 219000,"$3,000", clean, automatic,, excellent, fwd, grey, mini-van, 6 cylinders, mid-size,3000
25, gas,2004 jaguar xj8, 78000,"$13,600", clean, automatic,, like new, rwd, red, sedan, 8 cylinders, full-size,13600
26, gas,2004 pontiac grand am, 349000,"$2,000", clean, automatic,, good, fwd, silver, sedan, 6 cylinders,,2000
27, gas,2020 BMW 250i Convertible, 10,"$49,985", clean, automatic,, like new, 4wd, white, convertible, 4 cylinders, compact,49985
28, gas,2017 Honda Fit, 61495,"$16,750", clean, automatic, 3HGGK5H54HM100313, excellent, fwd,, hatchback,,,16750
29, gas,2004 jaguar xj, 77600,"$13,600", clean, automatic,, like new, rwd, red, sedan, 8 cylinders, full-size,13600
30, gas,2013 Nissan Altima SL, 121468,"$8,300", rebuilt, automatic,, excellent, fwd, grey, sedan, 4 cylinders,,8300
31, gas,1989 Jaguar XJS, 50000,"$25,500", clean, automatic,, like new, rwd, red, convertible, 12 cylinders,,25500
32, gas,2010 honda accord, 206000,"$5,700", rebuilt, automatic,, good, fwd,, coupe, 4 cylinders,,5700
33, gas,2017 Honda Fit, 37746,"$19,895", clean, automatic, 3HGGK5H83HM102936, excellent, fwd,, hatchback,,,19895
34, hybrid,2008 toyota prius, 169700,"$5,299", rebuilt, automatic,, excellent, fwd, grey, hatchback, 4 cylinders, mid-size,5299
35, gas,2014 nissan versa note sl, 61000,"$6,599", rebuilt, automatic,, excellent, fwd, black, hatchback, 4 cylinders, mid-size,6599
36, gas,2020 Audi A3 Technik TFSI quattro, 50,"$48,985", clean, automatic,, new, 4wd, white, sedan, 4 cylinders, full-size,48985
37, gas,2008 lexus es 350, 116500,"$10,999", clean, automatic,, excellent, fwd, grey, sedan,, full-size,10999
38, gas,2005 chevy equinox, 263000,"$2,399", clean, automatic,, good, 4wd, blue, SUV, 6 cylinders, full-size,2399
39, gas,2001 dodge durango, 200000,"$1,200", parts only, automatic,, fair,,,,,,1200
40, gas,2006 2006 honda civic, 249000,"$2,000", clean, manual,, good, fwd, blue, sedan, 4 cylinders, compact,2000
41, gas,2003 dodge durango, 200000,"$1,000", parts only, automatic,, fair,,,,,,1000
42, gas,2012 toyota corolla, 133600,"$8,500", clean, automatic,, excellent,, grey,, 4 cylinders,,8500
43, gas,2018 Audi Q7, 40000,"$48,985", clean, automatic,, like new, 4wd, black, SUV, 6 cylinders, full-size,48985
44, gas,2013 bmw 328i, 49173,"$15,900", clean, automatic, WBAKF3C57DJ385652, excellent, rwd, black, coupe, 6 cylinders, full-size,15900
45, gas,2017 Honda Civic, 53886,"$16,495", clean, automatic, 2HGFC2F52HH023126, excellent, fwd,, sedan,,,16495
46, gas,2016 jeep cherokee, 97900,"$16,900", clean, automatic, 1C4PJMCB0GW181544, excellent, 4wd, black, SUV, 4 cylinders,,16900
47, electric,2017 chevrolet bolt ev lt, 25000,"$25,900", clean, automatic, 1G1FW6S08H4160584, excellent,,,,,,25900
48, diesel,2016 ford f350 platinum, 112799,"$55,000", clean, automatic,, like new,, white, pickup,,,55000
49, diesel,2016 ford f350 diesels powerstroke, 113,"$55,000", clean, automatic,, like new,, white, pickup,, full-size,55000
50, gas,2017 jeep wrangler unlimited, 40422,"$39,894", clean, automatic, 1C4BJWEG1HL635575, excellent, 4wd, white, SUV, 6 cylinders, full-size,39894
51, gas,2018 Honda Pilot, 44970,"$40,750", clean, automatic, 5FNYF6H92JB501241, excellent, 4wd,, SUV,,,40750
52, gas,1988 cadillac eldorado biarritz, 112000,"$5,995", clean, automatic, 1G6EL1152JU632718, excellent, fwd, red, coupe, 8 cylinders, compact,5995
53, gas,1997 Acura 1.6 EL, 99999,"$1,234", clean, manual,, like new, fwd, green, sedan, 4 cylinders,,1234
54, gas,2011 mersedes benz c300 4matic, 164000,"$9,900", clean, automatic, WDDGF8BBXBR135713, like new, 4wd, blue, sedan, 6 cylinders, mid-size,9900
55, gas,2010 2010 chrysler town and country, 226000,"$7,995", clean, automatic,, excellent, fwd, black, mini-van, 6 cylinders, full-size,7995
56, hybrid,2006 toyota highlander hybrid, 235000,"$8,700", clean, automatic,, excellent, 4wd,,, 6 cylinders,,8700
57, gas,2003 mercedes benz c320, 87195,"$4,900", clean, automatic, WDBRF64J33F407516, excellent,, grey,,, full-size,4900
58, gas,2003 mercedes x320, 87200,"$4,900", clean, automatic, WDBRF64J33F407516, excellent,,,,,,4900
59, gas,2018 Honda Fit, 21736,"$19,450", clean, automatic, 3HGGK5H61JM102177, excellent, fwd,, hatchback,,,19450
60, gas,2004 volvo s40, 173500,"$4,900", clean, automatic,, excellent, fwd, silver, sedan, 4 cylinders, mid-size,4900
61, gas,2000 bmw, 317,"$2,900", salvage, automatic,,,,,,,,2900
62, gas,2008 honda civic, 194000,"$1,500", rebuilt, automatic,,,,, sedan, 4 cylinders,,1500
63, gas,2003 bmw x5, 221000,"$3,900", clean, automatic, 5UXFA535X3LV73968, excellent, 4wd, black, SUV, 6 cylinders, mid-size,3900
64, gas,2019 acura mdx sh-awd w/tech, 22000,"$48,000", clean, automatic,, like new, 4wd, white, SUV, 6 cylinders, full-size,48000
65, gas,2004 toyota camry se, 169000,"$5,600", clean, automatic,, excellent, fwd, red, sedan, 4 cylinders, compact,5600
66, gas,2016 SMART FORTWO PURE 2DR COUPE, 55850,"$5,900", clean, automatic,, like new,, white, hatchback,, compact,5900
67, gas,2009 mazda 3, 120000,"$4,750", clean, automatic, JM1BK32F791241647, excellent, fwd, black, sedan, 4 cylinders, compact,4750
68, gas,2005 toyota camry le, 168000,"$6,600", clean, automatic,, excellent, fwd, red, sedan, 4 cylinders, compact,6600
69, diesel,2003 ISUZU NPR, 228526,"$24,800", clean, automatic,,,,,,,,24800
70, gas,2013 Nissan Frontier, 121000,"$19,900", clean, automatic,, excellent, 4wd, white, pickup, 6 cylinders, mid-size,19900
71, gas,2007 chevrolet cobalt, 192000,"$2,000", clean, automatic,, good, fwd, black, coupe, 4 cylinders, compact,2000
72, gas,2006 Grumman Workhorse W42, 195960,"$9,500", clean, automatic,, good,, blue,, 8 cylinders,,9500
73, gas,2006 dodge grand caravan, 206000,"$2,750", clean, automatic,, good, fwd, brown, mini-van, 6 cylinders, full-size,2750
74, gas,2018 Honda Civic, 21340,"$18,500", clean, automatic, 2HGFC2F52JH005912, excellent, fwd,, sedan,,,18500
75, gas,2005 mazda mazda3, 340000,"$1,450", clean, manual,, excellent, fwd, blue, sedan, 4 cylinders, mid-size,1450
76, gas,2004 infiniti g35, 150000,"$4,950", clean, other,, like new, rwd, grey, sedan, 6 cylinders, mid-size,4950
77, gas,1970 ford mustang, 100000,"$8,900", clean, automatic,,,,,,,,8900
78, gas,1999 chevy express 1500, 25500,"$6,500", clean, automatic,, excellent,, white, van, 6 cylinders,,6500
79, gas,2005 honda odyssey, 314000,"$2,400", clean, automatic,, excellent,, blue, mini-van,, full-size,2400
80, gas,2018 Honda Civic, 30125,"$17,750", clean, automatic, 2HGFC2F59JH021024, excellent, fwd,, sedan,,,17750
81, gas,2000 bmw, 317,"$2,900", clean, automatic,,,,,,,,2900
82, gas,2007 ford ranger sport, 185000,"$5,950", rebuilt, automatic,, excellent, rwd, blue, pickup, 6 cylinders, sub-compact,5950
83, gas,2008 honda element sc, 245000,"$12,900", clean, automatic,, excellent, fwd, black, SUV, 4 cylinders, mid-size,12900
84, gas,1926 Essex touring, 1926,$659, parts only, other,,,,,,,,659
85, gas,2018 Honda Civic, 24739,"$18,250", clean, automatic, 2HGFC2F52JH023858, excellent, fwd,, sedan,,,18250
86, gas,1970 mustang fastback, 2121,"$15,500", clean, automatic,, good, rwd, blue, hatchback, 8 cylinders,,15500
87, gas,1998 subaru legacy, 199496,"$2,000", clean, manual,, excellent,, red, wagon,,,2000
88, gas,2005 Honda Odyssey, 295000,$500, clean, automatic,, salvage, fwd, silver, van, 6 cylinders, mid-size,500
89, gas,2018 Honda Civic, 29501,"$17,775", clean, automatic, 2HGFC2F57JH019479, excellent, fwd,, sedan,,,17775
90, gas,2005 2005 Dodge Caravan SXT, 151500,"$3,000", clean, automatic,, good, fwd, green, mini-van, 6 cylinders, full-size,3000
91, diesel,2017 Freightliner 337, 170000,"$84,500", clean, automatic,, excellent,,,,,,84500
92, diesel,1992 Hino FB, 174000,"$3,800", clean, manual,,,,,,,,3800
93, diesel,2008 Hino 268, 492000,"$39,800", clean, automatic,, excellent,, white,, 6 cylinders,,39800
94, diesel,2002 GMC W5500, 192500,"$19,800", clean, automatic,,,,,,,,19800
95, gas,2012 honda accord, 248,"$6,500", clean, automatic,,,,,, 6 cylinders,,6500
96, gas,2017 mazda3 hatchback, 50000,"$12,400", rebuilt, automatic,, excellent, fwd, grey, hatchback, 4 cylinders, mid-size,12400
97, gas,2008 Subaru Legacy, 270000,"$2,999", rebuilt, automatic,, excellent, 4wd, grey, sedan, 4 cylinders, mid-size,2999
98, gas,2013 Toyota Camry XLE, 121000,"$14,650", clean, automatic,, excellent, fwd, grey, sedan, 4 cylinders, mid-size,14650
99, gas,2011 Mini Cooper Countryman, 100000,"$9,950", clean, manual,, good, fwd, grey, hatchback, 4 cylinders, compact,9950
100, gas,2004 Acura TSX, 259000,"$3,000", clean, automatic,, excellent, fwd, black, sedan, 4 cylinders, full-size,3000
101, gas,2008 ford f-150, 333000,"$2,000", clean, automatic,, fair, 4wd, blue, pickup, 8 cylinders, full-size,2000
102, gas,2000 bmw, 217,"$2,900", clean, automatic,,,,,,,,2900
103, gas,1999 toyota solara sle, 280000,"$2,500", clean, automatic,, good, fwd, green, coupe, 6 cylinders, compact,2500
104, gas,2016 scion tc, 56000,"$9,800", rebuilt, automatic, JTKJF5C73GJ016618,,, blue, coupe, 4 cylinders,,9800
105, gas,2014 toyota venza, 112000,"$12,500", rebuilt, automatic, 4T3BA3BBXEU062403,, 4wd, grey, SUV, 4 cylinders,,12500
106, gas,2018 nissan sentra, 34000,"$13,800", clean, automatic, 3N1AB7AP5JY318547,,, red, sedan, 4 cylinders,,13800
107, diesel,2006 GMC C6500, 265000,"$36,800", clean, automatic,,,,,,,,36800
108, gas,2005 2005 Ford Ranger, 305000,"$3,299", rebuilt, automatic,,, rwd, black, truck, 6 cylinders,,3299
109, gas,2020 honda cr-v, 10000,"$25,800", rebuilt, automatic, 2HKRW2H24LH216173,, 4wd, grey, SUV, 4 cylinders,,25800
110, gas,2018 ford escape, 35000,"$17,500", rebuilt, automatic, 1FMCU9GD9JUA25662,, 4wd,, SUV, 4 cylinders,,17500
111, gas,2009 Pontiac Vibe, 231000,"$4,200", clean, manual,, excellent,, red,, 4 cylinders,,4200
112, gas,2011 honda accord, 168000,"$8,000", clean, automatic,, good, fwd, grey, sedan, 4 cylinders, mid-size,8000
113, gas,2011 honda accord, 168000,"$8,000", clean, automatic,, good, fwd, grey, sedan, 4 cylinders, mid-size,8000
114, diesel,2019 ford f-350 platinum, 11000,"$82,000", clean, automatic,, excellent, 4wd, black, pickup, 8 cylinders, full-size,82000
115, diesel,2019 Mercedes Benz Sprinter 35000, 25000,"$115,000", clean, automatic,,,,,,,,115000
116, diesel,2019 mercedes-benz sprinter 2500, 100,"$169,000", clean, automatic,,,,,,,,169000
117, gas,1952 dodge power wagon, 222222,"$5,000", missing, manual,,, 4wd,,,,,5000
118, gas,2000 Acura Integra RS, 345000,"$3,700", clean, manual,,,, black, coupe,,,3700
119, gas,2002 toyota tacoma 4x4 double cab, 342000,"$3,000", clean, automatic,, fair, 4wd, silver, pickup, 6 cylinders, mid-size,3000
120, gas,2013 2013 toyota corolla, 88000,"$7,800", rebuilt, manual,,,,,,,,7800
121, gas,2000 2000 Mercedes Benz 320S, 132000,"$6,200", clean, automatic,, excellent, rwd, silver, sedan, 6 cylinders, full-size,6200
122, gas,2007 honda ridgeline, 280000,"$7,999", clean, automatic,, excellent,,,, 6 cylinders,,7999
123, other,2008 Snowbear, 1000,"$5,500", clean, other,,,,,,,,5500
124, gas,2009 chevrolet silverado, 177000,"$18,500", clean, automatic,, excellent, 4wd, black, truck, 8 cylinders, full-size,18500
125, diesel,2008 ford f350 super duty, 227000,"$14,000", clean, automatic,,,,,,,,14000
126, gas,2005 bmw 6 series, 205000,"$5,000", clean, automatic,, excellent, rwd, white, coupe, 8 cylinders,,5000
127, gas,2014 toyota yaris hatchback, 165000,"$12,000", clean, automatic,, good, fwd, red, hatchback, 4 cylinders,,12000
128, gas,2003 toyota corolla, 109000,"$4,950", clean, automatic,, like new,, silver, sedan, 4 cylinders,,4950
129, gas,2003 toyota corolla, 109000,"$4,950", clean, automatic,, like new,, silver, sedan, 4 cylinders,,4950
130, gas,2007 pontiac g6, 130000,"$8,500", rebuilt, automatic,, excellent, fwd, blue, convertible, 6 cylinders, compact,8500
131, diesel,2006 chevrolet express 2500, 250000,"$4,500", salvage, automatic,, fair, rwd, white, van, 8 cylinders, full-size,4500
132, gas,2013 mazda 3, 173000,"$6,900", rebuilt, automatic,, good, fwd, black, sedan, 4 cylinders, compact,6900
133, gas,2009 Dodge Journey, 128000,"$6,100", rebuilt, automatic,, excellent, fwd, white, SUV, 6 cylinders, full-size,6100
134, gas,2017 Ford Fusion, 65000,"$12,300", rebuilt, automatic,, excellent, fwd, white, sedan, 4 cylinders, full-size,12300
135, gas,1991 toyota corolla, 135000,"$3,500", clean, automatic,,,,,,,,3500
136, gas,1997 Honda Accord, 290000,"$1,300", clean, automatic,, good,,,,,,1300
137, gas,1999 Honda accord Dx, 208,"$5,000", clean, automatic,, good, fwd, blue, sedan, 4 cylinders, mid-size,5000
138, gas,2017 toyota sienna le, 12100,"$28,999", clean, automatic,, like new, fwd, silver, mini-van, 6 cylinders, full-size,28999
139, gas,2019 toyota prius, 22000,"$23,589", clean, automatic,, like new, fwd, grey, hatchback, 4 cylinders, compact,23589
140, gas,2004 2004 Mercedes Benz S-Class, 170000,"$6,000", clean, automatic,,, rwd,,, 8 cylinders,,6000
141, gas,2011 jeep grand cherokee overland 4x4, 100000,"$21,000", rebuilt, automatic,, excellent, 4wd, black, SUV, 8 cylinders, full-size,21000
142, gas,2003 toyota corolla s, 200000,"$3,000", clean, automatic,,, fwd,,, 4 cylinders,,3000
143, gas,2018 honda civic lx, 47000,"$15,500", rebuilt, automatic,, excellent, fwd, black, sedan, 4 cylinders,,15500
144, gas,2020 honda civic ex, 1800,"$19,200", rebuilt, automatic,, like new, fwd, black, sedan, 4 cylinders,,19200
145, gas,2020 honda civic, 31000,"$18,200", rebuilt, automatic,, excellent, fwd, white, sedan, 4 cylinders,,18200
146, gas,1992 ford f-250, 173000,"$5,000", clean, automatic,, good, rwd, red, pickup, 8 cylinders, full-size,5000
147, gas,2006 mercedes benz cls55 amg, 78000,"$27,800", clean, automatic,,,,,,,,27800
148, gas,2007 honda civic coupe, 130000,"$4,700", rebuilt, automatic,, excellent, fwd, grey, sedan, 4 cylinders,,4700
149, gas,2011 dodge ram 1500 4x4 Crew Cab, 182000,"$16,900", rebuilt, automatic,, excellent, 4wd, white, truck, 8 cylinders, full-size,16900
150, gas,2017 infiniti q60 2.0t, 39000,"$22,500", rebuilt, automatic,, excellent, 4wd, grey, coupe, 4 cylinders,,22500
151, gas,2016 chevrolet sonic lt, 103000,"$7,400", rebuilt, automatic,, excellent, fwd, red, hatchback, 4 cylinders,,7400
152, gas,2011 scion tc, 89500,"$7,500", rebuilt, automatic,, excellent, fwd, grey, hatchback, 4 cylinders,,7500
153, gas,2012 Dodge Avenger SXT, 77000,"$7,900", rebuilt, automatic,, excellent, fwd, red, sedan, 4 cylinders,,7900
154, gas,2010 nissan rogue sl awd, 153000,"$7,500", rebuilt, automatic,, excellent, 4wd, white, SUV, 4 cylinders,,7500
155, gas,2005 bmw, 159000,"$10,900", rebuilt, manual,, like new, rwd, black, coupe, 8 cylinders, compact,10900
156, gas,2017 acura nsx, 9154,"$170,995", clean, automatic,, like new, 4wd, black, coupe, 6 cylinders, compact,170995
157, gas,2009 chevy silverado, 249000,"$7,000", clean, automatic,, good, 4wd,, pickup, 8 cylinders, full-size,7000
158, gas,2011 mazda 3, 289000,"$2,899", clean, manual,, excellent, fwd, silver, coupe, 4 cylinders, mid-size,2899
159, gas,2018 mercedes benz s63 amg, 6100,"$145,800", clean, automatic, WDDUG8JB3JA417514, like new, 4wd, black, sedan, 8 cylinders, full-size,145800
160, gas,2005 nissan maxima, 150000,"$2,500", clean, automatic,, good, fwd, custom, sedan, 6 cylinders, full-size,2500
161, gas,2005 H2  Hummer, 143000,"$24,000", clean, automatic,,,,,,,,24000
162, gas,2010 hyundai accent, 200000,"$3,000", rebuilt, automatic,, excellent, fwd, blue, sedan, 4 cylinders,,3000
163, gas,1989 Mercedes benz sl, 24567,"$12,345", clean, automatic,,,,,,,,12345
164, gas,2000 Honda Civic, 150000,"$2,500", clean, manual,, excellent, fwd, black, sedan, 4 cylinders,,2500
165, gas,2017 Mercedes benz s63 coupe, 1700,"$129,800", clean, automatic, WDDXJ7JB9HA023681, excellent, 4wd, black, coupe, 8 cylinders, full-size,129800
166, gas,2002 2002 honda cr-v, 239000,"$6,995", clean, automatic,, like new, 4wd, black, SUV, 4 cylinders, compact,6995
167, gas,2017 Mitsubishi Lancer SE Anniversary, 24600,"$9,500", rebuilt, manual,, excellent, fwd, white, sedan, 4 cylinders,,9500
168, gas,2010 2010 hyundai genesis coupe 2.0t, 102000,"$9,999", clean, automatic,, excellent,, white, coupe, 4 cylinders,,9999
169, gas,2017 nissan qashqai, 32000,"$15,900", clean, automatic,,,,,,,,15900
